Id Person;Name;Profession;Known For Titles
nm0004654;Nicolas Gessner;director,writer,assistant_director;tt0176390,tt0074806,tt0098154,tt0061410
nm0005069;Spike Jonze;producer,writer,director;tt1798709,tt0120188,tt0386117,tt0120601
nm0005101;Harmony Korine;director,writer,actor;tt0119237,tt0113540,tt2101441,tt1488163
nm0005139;Mike Leigh;director,writer,actor;tt0117589,tt1045670,tt0107653,tt0383694
nm0005222;Sam Mendes;producer,director,miscellaneous;tt8579674,tt14402146,tt0257044,tt1074638
nm0005363;Guy Ritchie;writer,director,producer;tt0988045,tt0120735,tt0208092,tt5177120
nm0005367;Brian Robbins;producer,actor,writer;tt0174432,tt0477051,tt0090444,tt0393162
nm0005570;Bud Yorkin;producer,director,writer;tt1856101,tt0068128,tt0083658,tt0327699
nm0005645;Enzo Barboni;cinematographer,director,writer;tt0067355,tt0074442,tt0060315,tt0068524
nm0005674;Arthur Crabtree;director,cinematographer,camera_department;tt0041305,tt0040335,tt0037578,tt0042679
nm0005711;Freddie Francis;director,cinematographer,camera_department;tt0080678,tt0166896,tt0097441,tt0101540
nm0006445;Éric Rohmer;director,writer,actor;tt0064612,tt0086087,tt0065772,tt0137439
nm0006476;Paul McGuigan;director,producer,archive_footage;tt0425210,tt0324554,tt1976009,tt0122515
nm0006487;Jim Sheridan;producer,director,writer;tt0298845,tt0107207,tt0097937,tt0765010
nm0006625;Steve Barron;director,producer,writer;tt0100758,tt2316306,tt0087197,tt0130414
nm0006734;Alain Corneau;writer,director,assistant_director;tt0103110,tt0098000,tt0318725,tt0075082
nm0006774;Joshua Sinclair;writer,actor,producer;tt5725348,tt0816544,tt0074740,tt0079224
nm0006845;Sally Potter;director,writer,composer;tt0120275,tt0107756,tt5814592,tt2115295
nm0006854;Roger Spottiswoode;director,producer,editorial_department;tt0083511,tt0216216,tt0096098,tt0472562
nm0006959;Dan Ireland;producer,director,actor;tt0118163,tt0421229,tt0120878,tt0285879
nm0006960;John Madden;director,producer,writer;tt0138097,tt1412386,tt0377107,tt4540710
nm0007071;Dennis Bots;director,assistant_director,writer;tt1800372,tt9407558,tt2371158,tt1581622
nm0007182;Alex Cox;actor,director,writer;tt0087995,tt0091954,tt0943982,tt0488604
nm0011752;Maren Ade;producer,writer,director;tt4048272,tt1204773,tt0386862,tt12536294
nm0014377;Eija-Liisa Ahtila;director,writer,cinematographer;tt0211083,tt0351259,tt0284983,tt4144910
nm0014960;Alexandre Aja;director,producer,writer;tt0338095,tt0454841,tt0464154,tt8364368
nm0015359;Fatih Akin;director,producer,actor;tt5723272,tt0347048,tt1244668,tt0880502
nm0016114;Myriam Alaux;director,producer,actress;tt0082020,tt3530600
nm0018133;Patrick Alessandrin;director,writer,producer;tt1247640,tt8263394,tt0112310,tt0271935
nm0019242;Daniel Alfredson;producer,director,assistant_director;tt1216487,tt1343097,tt0937378,tt0120329
nm0019244;Hans Alfredson;actor,writer,director;tt0083888,tt0089124,tt0073946,tt1343097
nm0019247;Tomas Alfredson;director,miscellaneous,music_department;tt1340800,tt1139797,tt0342636,tt1758810
nm0019341;Daniel Algrant;director,actor,writer;tt0110623,tt3315252,tt0274711,tt1103982
nm0022335;Antoni Aloy;writer,director,cinematographer;tt0211577,tt0203123,tt27893809,tt8265280
nm0023355;Christian Alvart;writer,producer,director;tt1188729,tt10384106,tt6839788,tt15557828
nm0023747;Silvio Amadio;writer,director,assistant_director;tt0053025,tt0057485,tt0131526,tt0068206
nm0023813;Luis César Amadori;writer,director,producer;tt0030398,tt0045010,tt0040292,tt0178228
nm0023852;J.K. Amalou;producer,writer,director;tt1785353,tt0119257,tt0300007,tt3030354
nm0024622;Alejandro Amenábar;writer,director,composer;tt0117883,tt0230600,tt0125659,tt0369702
nm0025241;Vicente Amorim;director,writer,producer;tt13024830,tt14278524,tt10715446,tt0436364
nm0026174;John Andreas Andersen;director,cinematographer,camera_department;tt23782584,tt6523720,tt1332134,tt0384639
nm0027183;Michael Anderson;director,assistant_director,actor;tt0074812,tt0048960,tt0128648,tt0053455
nm0027271;Paul W.S. Anderson;writer,producer,director;tt0318627,tt2592614,tt0452608,tt0119081
nm0027948;Roberto Andò;director,writer,miscellaneous;tt4647784,tt2523600,tt17374778,tt13003972
nm0030365;Paul Annett;director,producer,writer;tt0080336,tt0147770,tt0222545,tt0075592
nm0030762;Franz Antel;director,writer,producer;tt0115721,tt0082087,tt0052212,tt0048684
nm0031196;Edoardo Anton;writer,director,actor;tt0048935,tt0045705,tt0054246,tt0047412
nm0032495;Sallie Aprahamian;director,script_department,writer;tt0787519,tt4670954,tt0088512,tt2319282
nm0033005;Vicente Aranda;director,writer,actor;tt0101317,tt0093458,tt0448154,tt0113649
nm0036349;Andrea Arnold;actress,director,writer;tt3721936,tt1232776,tt0471030,tt1181614
nm0037867;Yann Arthus-Bertrand;director,writer,producer;tt3327994,tt7419466,tt35933363,tt13983714
nm0038432;Kelly Asbury;art_department,animation_department,actor;tt0377981,tt0298148,tt0166813,tt0101414
nm0039890;Ovidio G. Assonitis;producer,writer,director;tt0076809,tt0090836,tt0071212,tt29278801
nm0041334;Stéphane Aubier;director,writer,animation_department;tt1433540,tt1816518,tt0298495,tt3614440
